0,<BOS> event <EOS>,<BOS> debit _ projectdebit _ amountcredit _ projectcredit _ amount <EOS>
1,<BOS> 公司 开出 现金支票 ， 从 银行 提取 现金 5000 元 ， 以 用于 零星 开支 <EOS>,<BOS> 借方 : 库存现金 5000 贷方 : 银行存款 5000 <EOS>
2,<BOS> 公司 用 现金 200 元 购买 办公用品   <EOS>,<BOS> 借方 : 管理费用 200 贷方 : 库存现金 200 <EOS>
3,<BOS> 公司 行政 管理 部门 职工 王刚 ， 因 公差 预借 备用金 350 元 。 （ 企业 不 单独 设立 备用金 科目 ）   <EOS>,<BOS> 借方 : 其它应收款 350 贷方 : 库存现金 350 <EOS>
4,<BOS> 王刚 预借 备用金 350 ， 实际 支出 200 元 ， 剩余 现金 150 元 交回 财会 部门 。 <EOS>,<BOS> 借方 : 管理费用 150 贷方 : 库存现金 150 <EOS>
5,<BOS> 公司 在 对 现金 进行 清查 时 ， 发现 短缺 60 元 。 上述 现金 短缺 ， 无法 查明 原因 。   <EOS>,<BOS> 借方 : 待处理财产损益 60 贷方 : 库存现金 60 <EOS>
6,<BOS> 职工 张某 三 凭证 审核 的 发票 报销 差旅费 ， 单位 支付 其 现金 970 元 <EOS>,<BOS> 借方 : 管理费用 970 贷方 : 库存现金 970 <EOS>
7,<BOS> 职工 王五 报销 医药费 830 元 ， 单位 以 现金 付讫 <EOS>,<BOS> 借方 : 应付职工薪酬 830 贷方 : 库存现金 830 <EOS>
8,<BOS> 职工 王二 报销 医药费 1679 元 ， 单位 以 现金支票 付讫 <EOS>,<BOS> 借方 : 应付职工薪酬 1679 贷方 : 银行存款   1679 <EOS>
9,<BOS> 职工 出差 借 差旅费 ， 单位 交付 其 现金 900 元   <EOS>,<BOS> 借方 : 其它应收款 900 贷方 : 库存现金 900 <EOS>
10,<BOS> 支付 需 安装 的 新 生产线 的 安装费 12000 元 ， 以 银行存款 支付 <EOS>,<BOS> 借方 : 在建工程 12000 贷方 : 银行存款   12000 <EOS>
11,<BOS> 用 银行 转账 的 形式 支付 本期 工资 87000 元 <EOS>,<BOS> 借方 : 应付职工薪酬 87000 贷方 : 银行存款   87000 <EOS>
12,<BOS> 用 银行存款 支付 本期 工资 68000   <EOS>,<BOS> 借方 : 应付职工薪酬 68000 贷方 : 银行存款   68000 <EOS>
13,<BOS> 用 银行存款 缴纳 本期 应交 增值税 28900 元   <EOS>,<BOS> 借方 : 应交税费 28900 贷方 : 银行存款   28900 <EOS>
14,<BOS> 用 银行存款 的 形式 偿还 前期 应付票据 8000 元   <EOS>,<BOS> 借方 : 应付票据 8000 贷方 : 银行存款   8000 <EOS>
15,<BOS> 用 银行存款 偿还 上期 购货 欠 货款 43100 元 <EOS>,<BOS> 借方 : 应付账款 43100 贷方 : 银行存款   43100 <EOS>
16,<BOS> 用 银行存款 200000 偿还 机器设备 的 购置费 <EOS>,<BOS> 借方 : 应付账款 200000 贷方 : 银行存款   200000 <EOS>
17,<BOS> 用 银行存款 175400 元 取得 一项 专利权 <EOS>,<BOS> 借方 : 无形资产 175400 贷方 : 银行存款   175400 <EOS>
18,<BOS> 用 现金支付 本期 工资 99000 元 <EOS>,<BOS> 借方 : 应付职工薪酬 99000 贷方 : 库存现金 99000 <EOS>
19,<BOS> 用 现金 700 元购 办公用品 <EOS>,<BOS> 借方 : 管理费用 700 贷方 : 库存现金 700 <EOS>
20,<BOS> 以 银行 转账 的 形式 支付 本期 工资 93000 元   <EOS>,<BOS> 借方 : 应付职工薪酬 93000 贷方 : 银行存款   93000 <EOS>
21,<BOS> 以 银行存款 支付 销售 乙 商品 应 负担 的 运输费 87000 元 <EOS>,<BOS> 借方 : 销售费用 87000 贷方 : 银行存款 87000 <EOS>
22,<BOS> 以 银行存款 支付 销售 商品 的 广告费 59000 元 <EOS>,<BOS> 借方 : 销售费用 59000 贷方 : 银行存款   59000 <EOS>
23,<BOS> 以 银行存款 支付 销售 甲 商品 应 负担 的 运输费 9000 元 <EOS>,<BOS> 借方 : 销售费用 9000 贷方 : 银行存款 9000 <EOS>
24,<BOS> 以 银行存款 支付 退休金 30000 元   <EOS>,<BOS> 借方 : 管理费用 30000 贷方 : 银行存款 30000 <EOS>
25,<BOS> 以 银行存款 支付 短期借款 利息 6000 元 ( 尚未 计提 )   <EOS>,<BOS> 借方 : 财务费用 6000 贷方 : 银行存款 6000 <EOS>
26,<BOS> 以 银行存款 支付 到期 的 应付票据 70000 元   <EOS>,<BOS> 借方 : 应付票据 70000 贷方 : 银行存款   70000 <EOS>
27,<BOS> 以 银行存款 支付 本期 生产 甲乙 两 商品 共同 耗用 的 水电费 10000 元 <EOS>,<BOS> 借方 : 制造费用 10000 贷方 : 银行存款 10000 <EOS>
28,<BOS> 以 银行存款 缴纳 已 计提 的 应付 所得税 10000 元   <EOS>,<BOS> 借方 : 应交税费 10000 贷方 : 银行存款 10000 <EOS>
29,<BOS> 期末 盘盈 存货 ( A 原材料 ) 90000 元 ， 原因 尚未 查明 <EOS>,<BOS> 借方 : 原材料 90000 贷方 : 待处理财产损益 90000 <EOS>
30,<BOS> 期末 结转 本期 已 销售 乙 商品 成本 为 79500 元 <EOS>,<BOS> 借方 : 主营业务成本 79500 贷方 : 库存商品 79500 <EOS>
31,<BOS> 期末 结转 本期 已 销售 乙 商品 成本 为 188844 元   <EOS>,<BOS> 借方 : 主营业务成本 188844 贷方 : 库存商品 188844 <EOS>
32,<BOS> 经 批准 ， 将 上期 期末 盘亏 存货 8000 元 转作 管理费用 <EOS>,<BOS> 借方 : 管理费用 8000 贷方 : 待处理财产损益 8000 <EOS>
33,<BOS> 结转 销售 的 多余 生产 用 A 材料 成本 9100 元   <EOS>,<BOS> 借方 : 其它业务成本 9100 贷方 : 原材料 9100 <EOS>
34,<BOS> 购置 一条 安装 的 新 生产线 价值 250000 元 ， 以 银行 支票 支付   <EOS>,<BOS> 借方 : 在建工程 250000 贷方 : 银行存款   250000 <EOS>
35,<BOS> 购置 一台 大型 机器设备 价值 200000 ， 款 未付 <EOS>,<BOS> 借方 : 固定资产 200000 贷方 : 应付账款 200000 <EOS>
36,<BOS> 购置 一台 大型 机器设备 价值 150000 元 ， 以 银行 承税 汇票 支付 <EOS>,<BOS> 借方 : 固定资产 150000 贷方 : 应付票据 150000 <EOS>
37,<BOS> 购买 电脑 一台 价值 8000 元   <EOS>,<BOS> 借方 : 固定资产 8000 贷方 : 银行存款   8000 <EOS>
38,<BOS> 单位 提取 现金 800 元 备用 <EOS>,<BOS> 借方 : 库存现金 800 贷方 : 银行存款   800 <EOS>
39,<BOS> 单位 办公室 报销 会务费 8600 元 ， 以 现金支票 支付 <EOS>,<BOS> 借方 : 管理费用 8600 贷方 : 银行存款   8600 <EOS>
40,<BOS> 从 银行 提取 现金 99000 元 <EOS>,<BOS> 借方 : 库存现金 99000 贷方 : 银行存款   99000 <EOS>
41,<BOS> 从 银行 取得 一笔 200000 元 的 短期借款 ， 款存 银行 <EOS>,<BOS> 借方 : 银行存款   200000 贷方 : 短期借款 200000 <EOS>
42,<BOS> 偿还 前期 欠 货款 220000 元 ， 用 银行存款 支付 <EOS>,<BOS> 借方 : 应付账款 220000 贷方 : 银行存款   220000 <EOS>
